,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pandan,14.0453,124.1694,28.41,71,53,5.28,PH,1635734991
1,Vysokogornyy,50.1167,139.15,0.8,44,1,1.26,RU,1635735090
2,Carnarvon,-24.8667,113.6333,22.04,56,75,7.72,AU,1635735090
3,Chandler,33.3062,-111.8412,26.02,31,7,2.11,US,1635734916
4,Chui,-33.6971,-53.4616,17.34,98,92,2.93,UY,1635735070
5,Ushuaia,-54.8,-68.3,7.81,71,0,1.54,AR,1635734847
6,Atuona,-9.8,-139.0333,26.01,73,0,8.22,PF,1635734813
7,Hermanus,-34.4187,19.2345,17.11,79,100,5.41,ZA,1635735091
8,Pevek,69.7008,170.3133,-16.36,94,100,2.8,RU,1635734859
9,Albany,42.6001,-73.9662,12.97,81,71,0.45,US,1635734875
10,Tasiilaq,65.6145,-37.6368,-7.03,58,3,3.36,GL,1635735092
11,Yellowknife,62.456,-114.3525,0.79,99,90,4.63,CA,1635734815
12,Flinders,-34.5833,150.8552,23.78,62,100,2.68,AU,1635734871
13,Busselton,-33.65,115.3333,15.58,56,73,9.31,AU,1635735092
14,Rikitea,-23.1203,-134.9692,22.83,77,100,7.73,PF,1635735093
15,Sambava,-14.2667,50.1667,23.34,87,39,2.37,MG,1635735093
16,Kavieng,-2.5744,150.7967,29.84,67,69,6.26,PG,1635735094
17,Roquetas de Mar,36.7642,-2.6148,18.0,75,75,7.98,ES,1635735094
18,Bluff,-46.6,168.3333,12.7,73,99,13.55,NZ,1635734843
19,Tessalit,20.1986,1.0114,26.49,16,3,4.3,ML,1635735094
20,Manaure,11.7751,-72.4445,27.25,76,100,3.56,CO,1635735095
21,Hilo,19.7297,-155.09,25.85,79,40,2.06,US,1635734993
22,Souillac,-20.5167,57.5167,23.53,94,40,2.57,MU,1635734876
23,Norman Wells,65.282,-126.8329,-7.98,93,75,1.03,CA,1635735095
24,Mataura,-46.1927,168.8643,14.08,62,100,4.2,NZ,1635735096
25,Victoria Point,-27.5833,153.3,25.14,50,97,2.24,AU,1635735096
26,Ürümqi,43.801,87.6005,4.53,75,0,1.0,CN,1635735096
27,Pisco,-13.7,-76.2167,17.03,88,0,5.66,PE,1635735097
28,Qaanaaq,77.484,-69.3632,-7.9,80,100,4.05,GL,1635735097
29,Ambovombe,-25.1667,46.0833,22.01,86,95,2.21,MG,1635735097
30,Isangel,-19.55,169.2667,28.06,57,75,5.14,VU,1635735098
31,Sindor,62.8629,51.8905,-4.22,89,99,2.74,RU,1635735098
32,Zhigansk,66.7697,123.3711,-14.95,94,95,6.98,RU,1635735098
33,Artyom,40.4723,50.333,14.08,84,78,5.24,AZ,1635735099
34,Provideniya,64.3833,-173.3,-7.94,62,40,5.0,RU,1635735099
35,Bādāmi,15.915,75.6768,24.93,73,90,4.89,IN,1635735099
36,Benton Harbor,42.1167,-86.4542,9.5,48,15,0.45,US,1635735100
37,Vostok,46.4856,135.8833,6.29,47,6,1.23,RU,1635735100
38,Manokwari,-0.8667,134.0833,27.22,76,100,1.92,ID,1635735100
39,Bredasdorp,-34.5322,20.0403,16.82,77,100,3.6,ZA,1635734854
40,Airai,-8.9266,125.4092,25.64,41,72,1.05,TL,1635735101
41,Calama,-22.4667,-68.9333,11.25,34,0,1.0,CL,1635735053
42,Mount Isa,-20.7333,139.5,33.87,33,40,4.63,AU,1635735101
43,Cape Town,-33.9258,18.4232,16.16,83,75,1.34,ZA,1635734893
44,Dimataling,7.5344,123.3738,30.08,67,62,2.08,PH,1635735102
45,Sidhaulī,27.2833,80.8333,17.94,53,0,1.6,IN,1635735102
46,Lüderitz,-26.6481,15.1594,16.41,67,100,3.15,NA,1635735102
47,Kapit,2.0167,112.9333,30.46,65,100,0.08,MY,1635735103
48,Geraldton,-28.7667,114.6,21.18,42,70,8.23,AU,1635735103
49,Punta Arenas,-53.15,-70.9167,10.06,57,0,3.6,CL,1635735103
50,Kalmunai,7.4167,81.8167,28.19,78,60,2.87,LK,1635735104
51,Dudinka,69.4058,86.1778,-24.02,100,95,2.47,RU,1635735104
52,Butaritari,3.0707,172.7902,28.1,73,2,4.87,KI,1635735104
53,Opuwo,-18.0607,13.84,17.5,22,0,1.78,NA,1635735105
54,Beringovskiy,63.05,179.3167,-14.85,90,72,5.63,RU,1635734976
55,Sola,-13.8833,167.55,27.18,74,16,6.21,VU,1635735105
56,Khatanga,71.9667,102.5,-14.71,96,100,5.22,RU,1635734814
57,Dābhol,17.6,73.1667,26.55,64,83,1.97,IN,1635735106
58,Te Anau,-45.4167,167.7167,11.07,79,99,3.19,NZ,1635734920
59,Caramay,10.1815,119.236,29.59,70,97,5.52,PH,1635735106
60,Kaitangata,-46.2817,169.8464,16.83,50,95,5.65,NZ,1635735107
61,Saskylakh,71.9167,114.0833,-15.77,97,98,2.71,RU,1635735107
62,Kangaatsiaq,68.3065,-53.4641,1.96,86,100,9.14,GL,1635735107
63,Port Lincoln,-34.7333,135.8667,22.01,46,0,5.19,AU,1635734859
64,Ponta do Sol,32.6667,-17.1,22.35,75,44,0.5,PT,1635735108
65,Esperance,-33.8667,121.9,19.91,58,100,8.48,AU,1635735108
66,Turukhansk,65.8167,87.9833,-14.17,95,95,1.0,RU,1635735108
67,Gazli,40.1333,63.45,7.42,47,0,4.61,UZ,1635735109
68,Torbay,47.6666,-52.7314,7.93,95,90,5.66,CA,1635735109
69,Hong Kong,22.2855,114.1577,28.31,77,37,0.89,HK,1635735109
